[17:23:38] [main/INFO] [LaunchWrapper]: Loading tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:23:38] [main/INFO] [LaunchWrapper]: Using primary tweak class name net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:23:38] [main/INFO] [LaunchWrapper]: Calling tweak class net.minecraftforge.fml.common.launcher.FMLServerTweaker
[17:23:46] [Server thread/INFO] [FML]: MinecraftForge v14.23.2.2611 Initialized
[17:23:46] [Server thread/INFO] [FML]: Starts to replace vanilla recipe ingredients with ore ingredients.
[17:23:46] [Server thread/INFO] [FML]: Replaced 1036 ore ingredients
[17:23:47] [Server thread/DEBUG] [FML]: File C:\Users\Marvin\Documents\GitHub\MinecraftServer_Forge\config\injectedDependencies.json not found. No dependencies injected
[17:23:47] [Server thread/DEBUG] [FML]: Building injected Mod Containers [net.minecraftforge.fml.common.FMLContainer, net.minecraftforge.common.ForgeModContainer]
[17:23:47] [Server thread/DEBUG] [FML]: Attempting to load mods contained in the minecraft jar file and associated classes
[17:23:47] [Server thread/DEBUG] [FML]: Minecraft is a file at C:\Users\Marvin\Documents\GitHub\MinecraftServer_Forge\forge-1.12.2-14.23.2.2611-universal.jar, loading
[17:23:47] [Server thread/DEBUG] [FML]: Minecraft jar mods loaded successfully
[17:23:47] [Server thread/INFO] [FML]: Found 0 mods from the command line. Injecting into mod discoverer
[17:23:47] [Server thread/INFO] [FML]: Searching C:\Users\Marvin\Documents\GitHub\MinecraftServer_Forge\mods for mods
[17:23:47] [Server thread/DEBUG] [FML]: Found a candidate zip or jar file BuildCraft-Mod-1.12.2.jar
[17:23:47] [Server thread/DEBUG] [FML]: Found a candidate zip or jar file CodeChickenLib-1.12.2.jar
[17:23:47] [Server thread/DEBUG] [FML]: Found a candidate zip or jar file EnderStorage-1.12.jar
[17:23:47] [Server thread/DEBUG] [FML]: Ignoring unknown file mod_list.json in mods directory
[17:23:47] [Server thread/DEBUG] [FML]: Found a candidate zip or jar file Tree-Chopper-Mod-1.12.2.jar
[17:23:47] [Server thread/DEBUG] [FML]: Examining file forge-1.12.2-14.23.2.2611-universal.jar for potential mods
[17:23:47] [Server thread/DEBUG] [FML]: The mod container forge-1.12.2-14.23.2.2611-universal.jar appears to be missing an mcmod.info file
[17:23:48] [Server thread/DEBUG] [FML]: Examining file BuildCraft-Mod-1.12.2.jar for potential mods
[17:23:48] [Server thread/TRACE] [FML]: Located mcmod.info file in file BuildCraft-Mod-1.12.2.jar
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (buildcraft.builders.BCBuilders) - loading
[17:23:48] [Server thread/TRACE] [buildcraftbuilders]: Parsed dependency info : Requirements: [buildcraftcore@[7.99.14,7.99.14]] After:[buildcraftcore@[7.99.14,7.99.14]] Before:[]
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (buildcraft.core.BCCore) - loading
[17:23:48] [Server thread/TRACE] [buildcraftcore]: Parsed dependency info : Requirements: [buildcraftlib@[7.99.14,7.99.14]] After:[buildcraftlib@[7.99.14,7.99.14]] Before:[]
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (buildcraft.energy.BCEnergy) - loading
[17:23:48] [Server thread/TRACE] [buildcraftenergy]: Parsed dependency info : Requirements: [buildcraftcore@[7.99.14,7.99.14]] After:[buildcraftcore@[7.99.14,7.99.14]] Before:[]
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (buildcraft.factory.BCFactory) - loading
[17:23:48] [Server thread/TRACE] [buildcraftfactory]: Parsed dependency info : Requirements: [buildcraftcore@[7.99.14,7.99.14]] After:[buildcraftcore@[7.99.14,7.99.14]] Before:[]
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (buildcraft.lib.BCLib) - loading
[17:23:48] [Server thread/TRACE] [buildcraftlib]: Parsed dependency info : Requirements: [forge@[14.23.0.2544,)] After:[forge@[14.23.0.2544,)] Before:[]
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (buildcraft.robotics.BCRobotics) - loading
[17:23:48] [Server thread/TRACE] [buildcraftrobotics]: Parsed dependency info : Requirements: [buildcraftcore@[7.99.14,7.99.14]] After:[buildcraftcore@[7.99.14,7.99.14]] Before:[]
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (buildcraft.silicon.BCSilicon) - loading
[17:23:48] [Server thread/TRACE] [buildcraftsilicon]: Parsed dependency info : Requirements: [buildcraftcore@[7.99.14,7.99.14]] After:[buildcraftcore@[7.99.14,7.99.14]] Before:[]
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (buildcraft.transport.BCTransport) - loading
[17:23:48] [Server thread/TRACE] [buildcrafttransport]: Parsed dependency info : Requirements: [buildcraftcore@[7.99.14,7.99.14]] After:[buildcraftcore@[7.99.14,7.99.14]] Before:[]
[17:23:48] [Server thread/DEBUG] [FML]: Examining file CodeChickenLib-1.12.2.jar for potential mods
[17:23:48] [Server thread/TRACE] [FML]: Located mcmod.info file in file CodeChickenLib-1.12.2.jar
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (codechicken.lib.CodeChickenLib) - loading
[17:23:48] [Server thread/TRACE] [codechickenlib]: Parsed dependency info : Requirements: [] After:[] Before:[]
[17:23:48] [Server thread/DEBUG] [codechickenlib]: Attempting to load the file version.properties from CodeChickenLib-1.12.2.jar to locate a version number for codechickenlib
[17:23:48] [Server thread/WARN] [codechickenlib]: Mod codechickenlib is missing the required element 'version' and a version.properties file could not be found. Falling back to metadata version 3.1.5.331
[17:23:48] [Server thread/DEBUG] [FML]: Examining file EnderStorage-1.12.jar for potential mods
[17:23:48] [Server thread/TRACE] [FML]: Located mcmod.info file in file EnderStorage-1.12.jar
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (codechicken.enderstorage.EnderStorage) - loading
[17:23:48] [Server thread/TRACE] [enderstorage]: Parsed dependency info : Requirements: [codechickenlib@[3.1.1,)] After:[codechickenlib@[3.1.1,)] Before:[]
[17:23:48] [Server thread/DEBUG] [enderstorage]: Attempting to load the file version.properties from EnderStorage-1.12.jar to locate a version number for enderstorage
[17:23:48] [Server thread/WARN] [enderstorage]: Mod enderstorage is missing the required element 'version' and no fallback can be found. Substituting '1.0'.
[17:23:48] [Server thread/DEBUG] [FML]: Examining file Tree-Chopper-Mod-1.12.2.jar for potential mods
[17:23:48] [Server thread/TRACE] [FML]: Located mcmod.info file in file Tree-Chopper-Mod-1.12.2.jar
[17:23:48] [Server thread/DEBUG] [FML]: Identified a mod of type Lnet/minecraftforge/fml/common/Mod; (treechopper.core.TreeChopper) - loading
[17:23:48] [Server thread/TRACE] [treechopper]: Parsed dependency info : Requirements: [forge@[14.23.0.2486,)] After:[forge@[14.23.0.2486,)] Before:[]
[17:23:49] [Server thread/INFO] [FML]: Forge Mod Loader has identified 15 mods to load
[17:23:49] [Server thread/DEBUG] [FML]: Found API buildcraft.api.core (owned by buildcraftlib providing BuildCraftAPI|core) embedded in buildcraftbuilders
[17:23:49] [Server thread/DEBUG] [FML]: Found API buildcraft.api.core (owned by buildcraftlib providing BuildCraftAPI|core) embedded in buildcraftcore
[17:23:49] [Server thread/DEBUG] [FML]: Found API buildcraft.api.core (owned by buildcraftlib providing BuildCraftAPI|core) embedded in buildcraftenergy
[17:23:49] [Server thread/DEBUG] [FML]: Found API buildcraft.api.core (owned by buildcraftlib providing BuildCraftAPI|core) embedded in buildcraftfactory
[17:23:49] [Server thread/DEBUG] [FML]: Found API buildcraft.api.core (owned by buildcraftlib providing BuildCraftAPI|core) embedded in buildcraftlib
[17:23:49] [Server thread/DEBUG] [FML]: Found API buildcraft.api.core (owned by buildcraftlib providing BuildCraftAPI|core) embedded in buildcraftrobotics
[17:23:49] [Server thread/DEBUG] [FML]: Found API buildcraft.api.core (owned by buildcraftlib providing BuildCraftAPI|core) embedded in buildcraftsilicon
[17:23:49] [Server thread/DEBUG] [FML]: Found API buildcraft.api.core (owned by buildcraftlib providing BuildCraftAPI|core) embedded in buildcrafttransport
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - Forge Mod Loader took 0,000s
[17:23:58] [Server thread/TRACE] [forge]: Sending event FMLLoadCompleteEvent to mod forge
[17:23:58] [Server thread/DEBUG] [FML]: Forge RecipeSorter Baking:
[17:23:58] [Server thread/DEBUG] [FML]:   16: RecipeEntry("Before", UNKNOWN, )
[17:23:58] [Server thread/DEBUG] [FML]:   15: RecipeEntry("minecraft:shaped", SHAPED, net.minecraft.item.crafting.ShapedRecipes) Before: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   14: RecipeEntry("forge:shapedore", SHAPED, net.minecraftforge.oredict.ShapedOreRecipe) Before: minecraft:shapeless After: minecraft:shaped
[17:23:58] [Server thread/DEBUG] [FML]:   13: RecipeEntry("minecraft:mapextending", SHAPED, net.minecraft.item.crafting.RecipesMapExtending) Before: minecraft:shapeless After: minecraft:shaped
[17:23:58] [Server thread/DEBUG] [FML]:   12: RecipeEntry("minecraft:shapeless", SHAPELESS, net.minecraft.item.crafting.ShapelessRecipes) After: minecraft:shaped
[17:23:58] [Server thread/DEBUG] [FML]:   11: RecipeEntry("minecraft:repair", SHAPELESS, net.minecraft.item.crafting.RecipeRepairItem) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   10: RecipeEntry("minecraft:shield_deco", SHAPELESS, net.minecraft.item.crafting.ShieldRecipes$Decoration) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   9: RecipeEntry("minecraft:armordyes", SHAPELESS, net.minecraft.item.crafting.RecipesArmorDyes) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   8: RecipeEntry("minecraft:fireworks", SHAPELESS, net.minecraft.item.crafting.RecipeFireworks) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   7: RecipeEntry("minecraft:pattern_dupe", SHAPELESS, net.minecraft.item.crafting.RecipesBanners$RecipeDuplicatePattern) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   6: RecipeEntry("minecraft:tippedarrow", SHAPELESS, net.minecraft.item.crafting.RecipeTippedArrow) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   5: RecipeEntry("minecraft:mapcloning", SHAPELESS, net.minecraft.item.crafting.RecipesMapCloning) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   4: RecipeEntry("forge:shapelessore", SHAPELESS, net.minecraftforge.oredict.ShapelessOreRecipe) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   3: RecipeEntry("minecraft:pattern_add", SHAPELESS, net.minecraft.item.crafting.RecipesBanners$RecipeAddPattern) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   2: RecipeEntry("minecraft:bookcloning", SHAPELESS, net.minecraft.item.crafting.RecipeBookCloning) After: minecraft:shapeless
[17:23:58] [Server thread/DEBUG] [FML]:   1: RecipeEntry("After", UNKNOWN, )
[17:23:58] [Server thread/DEBUG] [FML]: Sorting recipes
[17:23:58] [Server thread/TRACE] [forge]: Sent event FMLLoadCompleteEvent to mod forge
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - Minecraft Forge took 0,011s
[17:23:58] [Server thread/TRACE] [buildcraftlib]: Sending event FMLLoadCompleteEvent to mod buildcraftlib
[17:23:58] [Server thread/TRACE] [buildcraftlib]: Sent event FMLLoadCompleteEvent to mod buildcraftlib
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - BuildCraft Lib took 0,001s
[17:23:58] [Server thread/TRACE] [buildcraftcore]: Sending event FMLLoadCompleteEvent to mod buildcraftcore
[17:23:58] [Server thread/TRACE] [buildcraftcore]: Sent event FMLLoadCompleteEvent to mod buildcraftcore
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - BuildCraft took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftbuilders]: Sending event FMLLoadCompleteEvent to mod buildcraftbuilders
[17:23:58] [Server thread/TRACE] [buildcraftbuilders]: Sent event FMLLoadCompleteEvent to mod buildcraftbuilders
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - BC Builders took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftenergy]: Sending event FMLLoadCompleteEvent to mod buildcraftenergy
[17:23:58] [Server thread/TRACE] [buildcraftenergy]: Sent event FMLLoadCompleteEvent to mod buildcraftenergy
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - BC Energy took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftfactory]: Sending event FMLLoadCompleteEvent to mod buildcraftfactory
[17:23:58] [Server thread/TRACE] [buildcraftfactory]: Sent event FMLLoadCompleteEvent to mod buildcraftfactory
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - BC Factory took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftrobotics]: Sending event FMLLoadCompleteEvent to mod buildcraftrobotics
[17:23:58] [Server thread/TRACE] [buildcraftrobotics]: Sent event FMLLoadCompleteEvent to mod buildcraftrobotics
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - BC Robotics took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftsilicon]: Sending event FMLLoadCompleteEvent to mod buildcraftsilicon
[17:23:58] [Server thread/TRACE] [buildcraftsilicon]: Sent event FMLLoadCompleteEvent to mod buildcraftsilicon
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - BC Silicon took 0,000s
[17:23:58] [Server thread/TRACE] [buildcrafttransport]: Sending event FMLLoadCompleteEvent to mod buildcrafttransport
[17:23:58] [Server thread/TRACE] [buildcrafttransport]: Sent event FMLLoadCompleteEvent to mod buildcrafttransport
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - BC Transport took 0,000s
[17:23:58] [Server thread/TRACE] [codechickenlib]: Sending event FMLLoadCompleteEvent to mod codechickenlib
[17:23:58] [Server thread/TRACE] [codechickenlib]: Sent event FMLLoadCompleteEvent to mod codechickenlib
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - CodeChicken Lib took 0,000s
[17:23:58] [Server thread/TRACE] [enderstorage]: Sending event FMLLoadCompleteEvent to mod enderstorage
[17:23:58] [Server thread/TRACE] [enderstorage]: Sent event FMLLoadCompleteEvent to mod enderstorage
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - EnderStorage took 0,000s
[17:23:58] [Server thread/TRACE] [treechopper]: Sending event FMLLoadCompleteEvent to mod treechopper
[17:23:58] [Server thread/TRACE] [treechopper]: Sent event FMLLoadCompleteEvent to mod treechopper
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: LoadComplete - Tree Chopper took 0,000s
[17:23:58] [Server thread/DEBUG] [FML]: Bar Finished: LoadComplete took 0,016s
[17:23:58] [Server thread/DEBUG] [FML]: Freezing registries
[17:23:58] [Server thread/TRACE] [minecraft]: Sending event FMLModIdMappingEvent to mod minecraft
[17:23:58] [Server thread/TRACE] [minecraft]: Sent event FMLModIdMappingEvent to mod minecraft
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - Minecraft took 0,001s
[17:23:58] [Server thread/TRACE] [mcp]: Sending event FMLModIdMappingEvent to mod mcp
[17:23:58] [Server thread/TRACE] [mcp]: Sent event FMLModIdMappingEvent to mod mcp
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - Minecraft Coder Pack took 0,000s
[17:23:58] [Server thread/TRACE] [FML]: Sending event FMLModIdMappingEvent to mod FML
[17:23:58] [Server thread/TRACE] [FML]: Sent event FMLModIdMappingEvent to mod FML
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - Forge Mod Loader took 0,000s
[17:23:58] [Server thread/TRACE] [forge]: Sending event FMLModIdMappingEvent to mod forge
[17:23:58] [Server thread/TRACE] [forge]: Sent event FMLModIdMappingEvent to mod forge
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - Minecraft Forge took 0,053s
[17:23:58] [Server thread/TRACE] [buildcraftlib]: Sending event FMLModIdMappingEvent to mod buildcraftlib
[17:23:58] [Server thread/TRACE] [buildcraftlib]: Sent event FMLModIdMappingEvent to mod buildcraftlib
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - BuildCraft Lib took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftcore]: Sending event FMLModIdMappingEvent to mod buildcraftcore
[17:23:58] [Server thread/TRACE] [buildcraftcore]: Sent event FMLModIdMappingEvent to mod buildcraftcore
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - BuildCraft took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftbuilders]: Sending event FMLModIdMappingEvent to mod buildcraftbuilders
[17:23:58] [Server thread/TRACE] [buildcraftbuilders]: Sent event FMLModIdMappingEvent to mod buildcraftbuilders
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - BC Builders took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftenergy]: Sending event FMLModIdMappingEvent to mod buildcraftenergy
[17:23:58] [Server thread/TRACE] [buildcraftenergy]: Sent event FMLModIdMappingEvent to mod buildcraftenergy
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - BC Energy took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftfactory]: Sending event FMLModIdMappingEvent to mod buildcraftfactory
[17:23:58] [Server thread/TRACE] [buildcraftfactory]: Sent event FMLModIdMappingEvent to mod buildcraftfactory
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - BC Factory took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftrobotics]: Sending event FMLModIdMappingEvent to mod buildcraftrobotics
[17:23:58] [Server thread/TRACE] [buildcraftrobotics]: Sent event FMLModIdMappingEvent to mod buildcraftrobotics
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - BC Robotics took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftsilicon]: Sending event FMLModIdMappingEvent to mod buildcraftsilicon
[17:23:58] [Server thread/TRACE] [buildcraftsilicon]: Sent event FMLModIdMappingEvent to mod buildcraftsilicon
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - BC Silicon took 0,000s
[17:23:58] [Server thread/TRACE] [buildcrafttransport]: Sending event FMLModIdMappingEvent to mod buildcrafttransport
[17:23:58] [Server thread/TRACE] [buildcrafttransport]: Sent event FMLModIdMappingEvent to mod buildcrafttransport
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - BC Transport took 0,000s
[17:23:58] [Server thread/TRACE] [codechickenlib]: Sending event FMLModIdMappingEvent to mod codechickenlib
[17:23:58] [Server thread/TRACE] [codechickenlib]: Sent event FMLModIdMappingEvent to mod codechickenlib
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - CodeChicken Lib took 0,000s
[17:23:58] [Server thread/TRACE] [enderstorage]: Sending event FMLModIdMappingEvent to mod enderstorage
[17:23:58] [Server thread/TRACE] [enderstorage]: Sent event FMLModIdMappingEvent to mod enderstorage
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - EnderStorage took 0,000s
[17:23:58] [Server thread/TRACE] [treechopper]: Sending event FMLModIdMappingEvent to mod treechopper
[17:23:58] [Server thread/TRACE] [treechopper]: Sent event FMLModIdMappingEvent to mod treechopper
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ModIdMapping - Tree Chopper took 0,000s
[17:23:58] [Server thread/DEBUG] [FML]: Bar Finished: ModIdMapping took 0,058s
[17:23:58] [Server thread/DEBUG] [FML]: All registries frozen
[17:23:58] [Server thread/INFO] [FML]: Forge Mod Loader has successfully loaded 15 mods
[17:23:58] [Server thread/TRACE] [minecraft]: Sending event FMLServerAboutToStartEvent to mod minecraft
[17:23:58] [Server thread/TRACE] [minecraft]: Sent event FMLServerAboutToStartEvent to mod minecraft
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - Minecraft took 0,001s
[17:23:58] [Server thread/TRACE] [mcp]: Sending event FMLServerAboutToStartEvent to mod mcp
[17:23:58] [Server thread/TRACE] [mcp]: Sent event FMLServerAboutToStartEvent to mod mcp
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - Minecraft Coder Pack took 0,000s
[17:23:58] [Server thread/TRACE] [FML]: Sending event FMLServerAboutToStartEvent to mod FML
[17:23:58] [Server thread/TRACE] [FML]: Sent event FMLServerAboutToStartEvent to mod FML
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - Forge Mod Loader took 0,000s
[17:23:58] [Server thread/TRACE] [forge]: Sending event FMLServerAboutToStartEvent to mod forge
[17:23:58] [Server thread/TRACE] [forge]: Sent event FMLServerAboutToStartEvent to mod forge
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - Minecraft Forge took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftlib]: Sending event FMLServerAboutToStartEvent to mod buildcraftlib
[17:23:58] [Server thread/TRACE] [buildcraftlib]: Sent event FMLServerAboutToStartEvent to mod buildcraftlib
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - BuildCraft Lib took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftcore]: Sending event FMLServerAboutToStartEvent to mod buildcraftcore
[17:23:58] [Server thread/TRACE] [buildcraftcore]: Sent event FMLServerAboutToStartEvent to mod buildcraftcore
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - BuildCraft took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftbuilders]: Sending event FMLServerAboutToStartEvent to mod buildcraftbuilders
[17:23:58] [Server thread/TRACE] [buildcraftbuilders]: Sent event FMLServerAboutToStartEvent to mod buildcraftbuilders
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - BC Builders took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftenergy]: Sending event FMLServerAboutToStartEvent to mod buildcraftenergy
[17:23:58] [Server thread/TRACE] [buildcraftenergy]: Sent event FMLServerAboutToStartEvent to mod buildcraftenergy
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - BC Energy took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftfactory]: Sending event FMLServerAboutToStartEvent to mod buildcraftfactory
[17:23:58] [Server thread/TRACE] [buildcraftfactory]: Sent event FMLServerAboutToStartEvent to mod buildcraftfactory
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - BC Factory took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftrobotics]: Sending event FMLServerAboutToStartEvent to mod buildcraftrobotics
[17:23:58] [Server thread/TRACE] [buildcraftrobotics]: Sent event FMLServerAboutToStartEvent to mod buildcraftrobotics
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - BC Robotics took 0,000s
[17:23:58] [Server thread/TRACE] [buildcraftsilicon]: Sending event FMLServerAboutToStartEvent to mod buildcraftsilicon
[17:23:58] [Server thread/TRACE] [buildcraftsilicon]: Sent event FMLServerAboutToStartEvent to mod buildcraftsilicon
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - BC Silicon took 0,000s
[17:23:58] [Server thread/TRACE] [buildcrafttransport]: Sending event FMLServerAboutToStartEvent to mod buildcrafttransport
[17:23:58] [Server thread/TRACE] [buildcrafttransport]: Sent event FMLServerAboutToStartEvent to mod buildcrafttransport
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - BC Transport took 0,000s
[17:23:58] [Server thread/TRACE] [codechickenlib]: Sending event FMLServerAboutToStartEvent to mod codechickenlib
[17:23:58] [Server thread/TRACE] [codechickenlib]: Sent event FMLServerAboutToStartEvent to mod codechickenlib
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - CodeChicken Lib took 0,000s
[17:23:58] [Server thread/TRACE] [enderstorage]: Sending event FMLServerAboutToStartEvent to mod enderstorage
[17:23:58] [Server thread/TRACE] [enderstorage]: Sent event FMLServerAboutToStartEvent to mod enderstorage
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - EnderStorage took 0,000s
[17:23:58] [Server thread/TRACE] [treechopper]: Sending event FMLServerAboutToStartEvent to mod treechopper
[17:23:58] [Server thread/TRACE] [treechopper]: Sent event FMLServerAboutToStartEvent to mod treechopper
[17:23:58] [Server thread/DEBUG] [FML]: Bar Step: ServerAboutToStart - Tree Chopper took 0,000s
[17:23:58] [Server thread/DEBUG] [FML]: Bar Finished: ServerAboutToStart took 0,005s
[17:23:58] [Server thread/INFO] [FML]: Injecting existing registry data into this server instance
[17:23:58] [Server thread/TRACE] [FML]: Registry Name : minecraft:blocks
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 0 minecraft:air Block{minecraft:air}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 1 minecraft:stone Block{minecraft:stone}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 2 minecraft:grass Block{minecraft:grass}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 3 minecraft:dirt Block{minecraft:dirt}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 4 minecraft:cobblestone Block{minecraft:cobblestone}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 5 minecraft:planks Block{minecraft:planks}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 6 minecraft:sapling Block{minecraft:sapling}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 7 minecraft:bedrock Block{minecraft:bedrock}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 8 minecraft:flowing_water Block{minecraft:flowing_water}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 9 minecraft:water Block{minecraft:water}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 10 minecraft:flowing_lava Block{minecraft:flowing_lava}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 11 minecraft:lava Block{minecraft:lava}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 12 minecraft:sand Block{minecraft:sand}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 13 minecraft:gravel Block{minecraft:gravel}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 14 minecraft:gold_ore Block{minecraft:gold_ore}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 15 minecraft:iron_ore Block{minecraft:iron_ore}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 16 minecraft:coal_ore Block{minecraft:coal_ore}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 17 minecraft:log Block{minecraft:log}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 18 minecraft:leaves Block{minecraft:leaves}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 19 minecraft:sponge Block{minecraft:sponge}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 20 minecraft:glass Block{minecraft:glass}
[17:23:58] [Server thread/TRACE] [FML]:   Registry: 21 minecraft:lapis_ore Block{minecraft:lapis_ore}
